route_dir,route_id,direction_id,representative_trip_id,canonical_stop_count,trip_count
10_0,10,0,10_D0_T001,30,35
11_0,11,0,11_D0_T001,28,24
12_0,12,0,12_D0_T001,51,45
13_0,13,0,13_D0_T001,51,27
14_0,14,0,14_D0_T001,57,32
15_0,15,0,15_D0_T001,38,73
1A_0,1A,0,1A_D0_T001,32,85
1B_0,1B,0,1B_D0_T001,36,48
2A_0,2A,0,2A_D0_T001,40,69
2B_0,2B,0,2B_D0_T001,41,60
3A_0,3A,0,3A_D0_T001,44,57
3B_0,3B,0,3B_D0_T001,51,35
4A_0,4A,0,4A_D0_T001,45,24
4B_0,4B,0,4B_D0_T001,29,24
5A_0,5A,0,5A_D0_T001,24,19
5B_0,5B,0,5B_D0_T001,31,31
6_0,6,0,6_D0_T001,42,46
8_0,8,0,8_D0_T001,35,37
9_0,9,0,9_D0_T001,26,29
L-1_0,L-1,0,L-1_D0_T001,27,22
