route_id,kml_name,n_vertices,description_preview
1A,1A _ Trans Jogja,239,! -- AWAL / START -- ! 001 => Bandara Adisujtipto 002 => Makam Sorogenen 003 => KR - B 004 => BPD Kalasan 005 => Pasar Kalasan - B 006 => RS Bhayangkara - B 007 => Edotel Kalasan - B 008 => Terminal P
1B,1B _ Trans Jogja,179,! -- AWAL / START -- ! 001 => Bandara Adisutjipto 002 => Hyundai 003 => Jayakarta 004 => Janti Utara 005 => Sahid J-Walk 006=> Dishub DIY - A 007 => Babarsari - A 008 => Kledokan 009 => Pasar Angkasa 
2A,2A _  Trans Jogja,265,! -- AWAL / START -- ! 001 => Terminal Condongcatur 002 => Manggung 003 => Monjali - B 004 => Terminal Jombor 005 => Monjali - A 006 => PDAM Monjali - A 007 => SPBU Monjali - A 008 => Karangjati - A 0
2B,2B _ Trans Jogja,253,! -- AWAL / START -- ! 001 => Terminal Condongcatur 002 => SPBU Concat - B 003 => Prayan - B 004 => Susteran Novisiat 005 => Sanata Dharma 006 => Samirono 007 => RS Panti Rapih 008 => SMPN 1 - B 009 =
3A,3A _ Trans Jogja,267,! -- AWAL / START -- ! 001 => Terminal Giwangan 002 => Pasar Giwangan - A 003 => Gudang SGM - A 004 => Tegal Gendu - A 005 => Lap. Karang - A 006 => SMAN 5 007 => Kehutanan - A 008 => Pillar 009 => Ba
3B,3B _ Trans Jogja,266,! -- AWAL / START -- ! 001 => Terminal Giwangan 002 => Pasar Giwangan - A 003 => Gudang SGM - A 004 => Tegal Turi - B 005 => Nitikan 006 => Widya Wiwaha - B 007 => Lowanu - B 008 => Museum Perjuangan 
4A,4A _ Trans Jogja,242,! -- AWAL / START -- ! 001 => Terminal Giwangan 002 => Pasar Giwangan - A 003 => Gudang SGM - A 004 => SMK Muh 3 005 => Pramuka 006 => Pasar Sepeda 007 => Nyutran Tamansiswa 008 => Lapas Wirogunan - A
4B,4B _ Trans Jogja,210,! -- AWAL / START -- ! 001 => Terminal Giwangan 002 => Pasar Giwangan - A 003 => Gudang SGM - A 004 => SMK Muh 3 005 => Pramuka 006 => Pandeyan 007 => UTY Glagahsari - B 008 => Olive Glagahsari 009 =>
5A,5A _ Trans Jogja,214,! -- AWAL / START -- ! 001 => Terminal Jombor 002 => Indogrosir 003 => Jogja City Mall - A 004 => Atakrib Jl. Magelang 005 => TVRI - A 006 => Karangwaru - A 007 => Borobudur Plaza 008 => SMKN 3 009 =>
5B,5B _ Trans Jogja,232,! -- AWAL / START -- ! 001 => Terminal Jombor 002 => Monjali - A 003 => PDAM Monjali - A 004 => SPBU Monjali - A 005 => Teknik UGM - B 006 => RS Sardjito - A 007 => FKG UGM - A 008 => Hotel Vidi 009 =
6,6 _ Trans Jogja,224,! -- AWAL / START -- ! 001 => Park and Ride Gamping 002 => PKU Gamping 003 => Pasar Gamping - A 004 => Universitas BSI - B 005 => UMY - B 006 => Tamantirto - B 007 => Universitas Alma Ata 008 => Lap. 
8,8 _ Trans Jogja,214,! -- AWAL / START -- ! 001 => Terminal Jombor 002 => UTY Ring Road Utara - A 003 => Dusun Ngawen 004 => West Lake - A 005 => Perumahan Nogotirto 006 => Demak Ijo - A 007 => Metro Nogotirto - A 008 => 
9,9 _ Trans Jogja,221,! -- AWAL / START -- ! 001 => Terminal Giwangan 002 => UAD Ring Road Selatan - A 003 => Simpang Wojo 004 => Druwo - A 005 => Jogokariyan - A 006 => Jokteng Wetan 007 => Plengkung Gading - B 008 => SMA
10,10 _ Trans Jogja,240,! -- AWAL / START -- ! 001 => Park and Ride Gamping 002 => PKU Gamping 003 => Pasar Gamping - A 004 => Pelem Guriih - A 005 => Bayeman - A 006 => Eks Hotel Nataputra 007 => SMP Muh 3 008 => GKJ Wirobr
11,11 _ Trans Jogja,266,! -- AWAL / START -- ! 001 => Terminal Giwangan 002 => UAD Ring Road Selatan - A 003 => Wojo (Randubelang) - A 004 => Pasar Telo - A 005 => Jogokariyan - A 006 => Hotel Pramesthi 007 => Ruba Graha - A
12,12 _ Trans Jogja,216,! -- AWAL / START -- ! 001 => Terminal Condongcatur 002 => SPBU Concat - B 003 => Prayan - B 004 => Susteran Novisiat 005 => Sanata Dharma 006 => Samirono 007 => RS Panti Rapih 008 => Vokasi UGM 009 =
13,13 _ Trans Jogja,157,! -- AWAL / START -- ! 001 => Pusat Kuliner Belut Godean 002 => Kantor Kap. Godean - A 003 => Simpang Mandungan (Iwak Klaten) - A 004 => Koramil Godean - A 005 => Polsek Godean - A 006 => Neutron Gode
14,14 _ Trans Jogja,271,! -- AWAL / START -- ! 001 => Bandarra Adisutjjipto 002 => KKP Yogyakarrta 003 => Disnakertas - A 004 => SMKN 1 Depok - Jl. Raya Tajem - A 005 => SDN 1 Depok - A 006 => KUA Depok - A 007 => MAN 2 Slem
15,15 _ Trans Jogja,150,! -- AWAL / START -- ! 001 => Terminal Palbapang 002 => SMAN 1 Bantul - A 003 => SD Unggulan Aisyiyah - A 004 => Simpang Gose - A 005 => Tugu Adipura 006 => Pasar Bantul - A 007 => BRI Bantul 008 => S
L-1,L-1 _ Trans Jogja,94,! -- AWAL / START -- ! 001 => Terminal Jombor 002 => Indogrosir 003 => Jogja City Mall - A 004 => Atakrib Jl. Magelang 005 => TVRI - A 006 => Karangwaru - A 007 => Hotel Utara - A 008 => Pasar Krangga
